"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 26 16:53:40 GMT 2024","Mon Feb 26 16:53:40 GMT 2024","42","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsNotCorrectly","checkProjectNameValidationIsNotCorrectly",""
"skipped","Mon Feb 26 16:53:32 GMT 2024","Mon Feb 26 16:53:32 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"passed","Mon Feb 26 16:53:35 GMT 2024","Mon Feb 26 16:53:35 GMT 2024","79","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckThatIdCannotBeDublicate","CheckThatIdCannotBeDublicate",""
"skipped","Mon Feb 26 16:53:47 GMT 2024","Mon Feb 26 16:53:47 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViewerShouldNotHaveRightsToCreateProject","projectViewerShouldNotHaveRightsToCreateProject",""
"passed","Mon Feb 26 16:52:37 GMT 2024","Mon Feb 26 16:52:38 GMT 2024","145","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"skipped","Mon Feb 26 16:53:32 GMT 2024","Mon Feb 26 16:53:32 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"skipped","Mon Feb 26 16:53:32 GMT 2024","Mon Feb 26 16:53:32 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"passed","Mon Feb 26 16:53:42 GMT 2024","Mon Feb 26 16:53:42 GMT 2024","50","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"passed","Mon Feb 26 16:53:47 GMT 2024","Mon Feb 26 16:54:03 GMT 2024","16363","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"failed","Mon Feb 26 16:53:43 GMT 2024","Mon Feb 26 16:53:43 GMT 2024","61","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
