"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 25 17:54:40 GMT 2024","Sun Feb 25 17:54:40 GMT 2024","68","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckValidationProjectName","CheckValidationProjectName",""
"passed","Sun Feb 25 17:54:41 GMT 2024","Sun Feb 25 17:54:41 GMT 2024","65","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckValidationProjectName","CheckValidationProjectName",""
"skipped","Sun Feb 25 17:54:50 GMT 2024","Sun Feb 25 17:54:50 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"broken","Sun Feb 25 17:54:50 GMT 2024","Sun Feb 25 17:54:50 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","afterTest","afterTest",""
"skipped","Sun Feb 25 17:54:35 GMT 2024","Sun Feb 25 17:54:35 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"passed","Sun Feb 25 17:54:26 GMT 2024","Sun Feb 25 17:54:26 GMT 2024","295","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","CheckNoProjectFoundByEmptyOrNotExistedLocator","CheckNoProjectFoundByEmptyOrNotExistedLocator",""
"passed","Sun Feb 25 17:54:45 GMT 2024","Sun Feb 25 17:54:45 GMT 2024","49","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsNotCorrectly","checkProjectNameValidationIsNotCorrectly",""
"skipped","Sun Feb 25 17:54:35 GMT 2024","Sun Feb 25 17:54:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"skipped","Sun Feb 25 17:54:35 GMT 2024","Sun Feb 25 17:54:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"skipped","Sun Feb 25 17:54:35 GMT 2024","Sun Feb 25 17:54:35 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCannotBeDoubledInSameProject","buildConfigNameTestCannotBeDoubledInSameProject",""
"failed","Sun Feb 25 17:54:47 GMT 2024","Sun Feb 25 17:54:47 GMT 2024","100","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"passed","Sun Feb 25 17:54:42 GMT 2024","Sun Feb 25 17:54:42 GMT 2024","49","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkNoProjectFoundByNotExistedLocator","checkNoProjectFoundByNotExistedLocator",""
"failed","Sun Feb 25 17:54:35 GMT 2024","Sun Feb 25 17:54:35 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","afterTest","afterTest",""
"passed","Sun Feb 25 17:53:38 GMT 2024","Sun Feb 25 17:53:38 GMT 2024","93","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"passed","Sun Feb 25 17:54:43 GMT 2024","Sun Feb 25 17:54:43 GMT 2024","72","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsCorrectly","checkProjectNameValidationIsCorrectly",""
"passed","Sun Feb 25 17:54:37 GMT 2024","Sun Feb 25 17:54:37 GMT 2024","180","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckProjectWithThisNameAlreadyExists","CheckProjectWithThisNameAlreadyExists",""
"skipped","Sun Feb 25 17:54:35 GMT 2024","Sun Feb 25 17:54:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"failed","Sun Feb 25 17:54:49 GMT 2024","Sun Feb 25 17:54:50 GMT 2024","89","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerShouldNotHaveRightsToCreateProject","agentManagerShouldNotHaveRightsToCreateProject",""
"passed","Sun Feb 25 17:54:31 GMT 2024","Sun Feb 25 17:54:31 GMT 2024","162","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"skipped","Sun Feb 25 17:54:49 GMT 2024","Sun Feb 25 17:54:49 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"passed","Sun Feb 25 17:54:44 GMT 2024","Sun Feb 25 17:54:44 GMT 2024","46","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsNotCorrectly","checkProjectNameValidationIsNotCorrectly",""
"skipped","Sun Feb 25 17:53:20 GMT 2024","Sun Feb 25 17:53:20 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"failed","Sun Feb 25 17:53:42 GMT 2024","Sun Feb 25 17:53:42 GMT 2024","76","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"skipped","Sun Feb 25 17:54:35 GMT 2024","Sun Feb 25 17:54:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"passed","Sun Feb 25 17:54:39 GMT 2024","Sun Feb 25 17:54:39 GMT 2024","71","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckThatLocatorCannotBeEmpty","CheckThatLocatorCannotBeEmpty",""
"failed","Sun Feb 25 17:54:48 GMT 2024","Sun Feb 25 17:54:48 GMT 2024","45","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"skipped","Sun Feb 25 17:54:50 GMT 2024","Sun Feb 25 17:54:50 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Sun Feb 25 17:54:36 GMT 2024","Sun Feb 25 17:54:37 GMT 2024","114","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckProjectWithSameNameOfParentProjectBeAbleToCreate","CheckProjectWithSameNameOfParentProjectBeAbleToCreate",""
"passed","Sun Feb 25 17:54:29 GMT 2024","Sun Feb 25 17:54:30 GMT 2024","146","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"failed","Sun Feb 25 17:54:47 GMT 2024","Sun Feb 25 17:54:47 GMT 2024","48","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"failed","Sun Feb 25 17:54:48 GMT 2024","Sun Feb 25 17:54:48 GMT 2024","48","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"passed","Sun Feb 25 17:54:44 GMT 2024","Sun Feb 25 17:54:44 GMT 2024","67","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsNotCorrectly","checkProjectNameValidationIsNotCorrectly",""
"passed","Sun Feb 25 17:54:45 GMT 2024","Sun Feb 25 17:54:45 GMT 2024","56","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"passed","Sun Feb 25 17:52:47 GMT 2024","Sun Feb 25 17:52:50 GMT 2024","3749","Surefire suite","Surefire test","com.example.teamcity.api.AgentsAuthorizedTest","com.example.teamcity.api.AgentsAuthorizedTest","authorizeAgentTest","authorizeAgentTest",""
"passed","Sun Feb 25 17:54:28 GMT 2024","Sun Feb 25 17:54:29 GMT 2024","218","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"passed","Sun Feb 25 17:54:32 GMT 2024","Sun Feb 25 17:54:32 GMT 2024","227","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
