"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 26 15:08:35 GMT 2024","Mon Feb 26 15:08:35 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViewerShouldNotHaveRightsToCreateProject","projectViewerShouldNotHaveRightsToCreateProject",""
"failed","Mon Feb 26 15:07:09 GMT 2024","Mon Feb 26 15:07:09 GMT 2024","195","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"passed","Mon Feb 26 15:08:25 GMT 2024","Mon Feb 26 15:08:26 GMT 2024","70","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckValidationProjectName","CheckValidationProjectName",""
"passed","Mon Feb 26 15:08:28 GMT 2024","Mon Feb 26 15:08:28 GMT 2024","72","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsCorrectly","checkProjectNameValidationIsCorrectly",""
"passed","Mon Feb 26 15:08:25 GMT 2024","Mon Feb 26 15:08:25 GMT 2024","120","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckValidationProjectName","CheckValidationProjectName",""
"passed","Mon Feb 26 15:08:28 GMT 2024","Mon Feb 26 15:08:28 GMT 2024","54","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsCorrectly","checkProjectNameValidationIsCorrectly",""
"failed","Mon Feb 26 15:08:34 GMT 2024","Mon Feb 26 15:08:34 GMT 2024","96","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerShouldNotHaveRightsToCreateProject","agentManagerShouldNotHaveRightsToCreateProject",""
"passed","Mon Feb 26 15:08:14 GMT 2024","Mon Feb 26 15:08:14 GMT 2024","166","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"passed","Mon Feb 26 15:08:31 GMT 2024","Mon Feb 26 15:08:31 GMT 2024","53","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"failed","Mon Feb 26 15:08:20 GMT 2024","Mon Feb 26 15:08:20 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","afterTest","afterTest",""
"passed","Mon Feb 26 15:08:24 GMT 2024","Mon Feb 26 15:08:24 GMT 2024","56","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckThatLocatorCannotBeEmpty","CheckThatLocatorCannotBeEmpty",""
"skipped","Mon Feb 26 15:08:20 GMT 2024","Mon Feb 26 15:08:20 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"passed","Mon Feb 26 15:07:25 GMT 2024","Mon Feb 26 15:07:26 GMT 2024","87","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"passed","Mon Feb 26 15:04:43 GMT 2024","Mon Feb 26 15:05:35 GMT 2024","52341","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
