"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 26 15:29:12 GMT 2024","Mon Feb 26 15:29:12 GMT 2024","65","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"passed","Mon Feb 26 15:29:13 GMT 2024","Mon Feb 26 15:29:13 GMT 2024","70","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"skipped","Mon Feb 26 15:29:02 GMT 2024","Mon Feb 26 15:29:02 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"broken","Mon Feb 26 15:29:17 GMT 2024","Mon Feb 26 15:29:17 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","afterTest","afterTest",""
"passed","Mon Feb 26 15:29:08 GMT 2024","Mon Feb 26 15:29:08 GMT 2024","58","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckValidationProjectName","CheckValidationProjectName",""
"passed","Mon Feb 26 15:28:51 GMT 2024","Mon Feb 26 15:28:53 GMT 2024","2608","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","CheckNoProjectFoundByEmptyOrNotExistedLocator","CheckNoProjectFoundByEmptyOrNotExistedLocator",""
"skipped","Mon Feb 26 15:29:17 GMT 2024","Mon Feb 26 15:29:17 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"passed","Mon Feb 26 15:28:54 GMT 2024","Mon Feb 26 15:28:54 GMT 2024","293","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdCannotBeDoubled","buildConfigIdCannotBeDoubled",""
"broken","Mon Feb 26 15:29:30 GMT 2024","Mon Feb 26 15:29:30 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","afterTest","afterTest",""
"passed","Mon Feb 26 15:29:03 GMT 2024","Mon Feb 26 15:29:03 GMT 2024","123","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckNameWithThisNameAlreadyExist","CheckNameWithThisNameAlreadyExist",""
