"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"broken","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","afterTest","afterTest",""
"passed","Wed Feb 28 19:35:33 GMT 2024","Wed Feb 28 19:35:33 GMT 2024","135","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"passed","Wed Feb 28 19:35:28 GMT 2024","Wed Feb 28 19:35:29 GMT 2024","1119","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"passed","Wed Feb 28 19:35:45 GMT 2024","Wed Feb 28 19:35:45 GMT 2024","53","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"broken","Wed Feb 28 19:35:48 GMT 2024","Wed Feb 28 19:35:48 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","afterTest","afterTest",""
"passed","Wed Feb 28 19:35:32 GMT 2024","Wed Feb 28 19:35:32 GMT 2024","118","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"skipped","Wed Feb 28 19:35:49 GMT 2024","Wed Feb 28 19:35:49 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","3","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl",""
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Wed Feb 28 19:35:27 GMT 2024","Wed Feb 28 19:35:28 GMT 2024","250","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","CheckNoProjectFoundByEmptyOrNotExistedLocator","CheckNoProjectFoundByEmptyOrNotExistedLocator",""
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"passed","Wed Feb 28 19:35:31 GMT 2024","Wed Feb 28 19:35:32 GMT 2024","126","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"passed","Wed Feb 28 19:35:39 GMT 2024","Wed Feb 28 19:35:39 GMT 2024","77","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckThatLocatorCannotBeEmpty","CheckThatLocatorCannotBeEmpty",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName",""
"passed","Wed Feb 28 19:31:47 GMT 2024","Wed Feb 28 19:32:43 GMT 2024","56135","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"passed","Wed Feb 28 19:35:44 GMT 2024","Wed Feb 28 19:35:44 GMT 2024","46","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsNotCorrectly","checkProjectNameValidationIsNotCorrectly",""
"failed","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","afterTest","afterTest",""
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCannotBeDoubledInSameProject","buildConfigNameTestCannotBeDoubledInSameProject",""
"passed","Wed Feb 28 19:35:45 GMT 2024","Wed Feb 28 19:35:45 GMT 2024","43","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"skipped","Wed Feb 28 19:35:49 GMT 2024","Wed Feb 28 19:35:49 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectNameManually","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectNameManually",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName",""
"passed","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:36 GMT 2024","114","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckBeAbleToCreateNewProjectInParentProjectAlreadyExistedProject","CheckBeAbleToCreateNewProjectInParentProjectAlreadyExistedProject",""
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"passed","Wed Feb 28 19:35:45 GMT 2024","Wed Feb 28 19:35:45 GMT 2024","43","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"passed","Wed Feb 28 19:34:38 GMT 2024","Wed Feb 28 19:34:38 GMT 2024","94","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"passed","Wed Feb 28 19:35:34 GMT 2024","Wed Feb 28 19:35:34 GMT 2024","103","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","2","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl",""
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"skipped","Wed Feb 28 19:35:49 GMT 2024","Wed Feb 28 19:35:49 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"failed","Wed Feb 28 19:35:48 GMT 2024","Wed Feb 28 19:35:48 GMT 2024","97","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerShouldNotHaveRightsToCreateProject","agentManagerShouldNotHaveRightsToCreateProject",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","1","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName",""
"failed","Wed Feb 28 19:35:47 GMT 2024","Wed Feb 28 19:35:47 GMT 2024","47","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"skipped","Wed Feb 28 19:34:23 GMT 2024","Wed Feb 28 19:34:23 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"failed","Wed Feb 28 19:35:47 GMT 2024","Wed Feb 28 19:35:47 GMT 2024","40","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewBuildWithIncorrectNameManually","authorizedUserShouldNotBeAbleCreateNewBuildWithIncorrectNameManually",""
"skipped","Wed Feb 28 19:35:16 GMT 2024","Wed Feb 28 19:35:16 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl",""
"passed","Wed Feb 28 19:35:37 GMT 2024","Wed Feb 28 19:35:37 GMT 2024","178","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckProjectWithSameNameOfParentProjectBeAbleToCreate","CheckProjectWithSameNameOfParentProjectBeAbleToCreate",""
"skipped","Wed Feb 28 19:35:16 GMT 2024","Wed Feb 28 19:35:16 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl",""
"passed","Wed Feb 28 19:35:28 GMT 2024","Wed Feb 28 19:35:28 GMT 2024","252","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdCannotBeDoubled","buildConfigIdCannotBeDoubled",""
"failed","Wed Feb 28 19:35:49 GMT 2024","Wed Feb 28 19:36:01 GMT 2024","12172","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"passed","Wed Feb 28 19:35:39 GMT 2024","Wed Feb 28 19:35:39 GMT 2024","60","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckValidationProjectName","CheckValidationProjectName",""
"failed","Wed Feb 28 19:35:48 GMT 2024","Wed Feb 28 19:35:48 GMT 2024","41","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"skipped","Wed Feb 28 19:35:49 GMT 2024","Wed Feb 28 19:35:49 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViewerShouldNotHaveRightsToCreateProject","projectViewerShouldNotHaveRightsToCreateProject",""
"skipped","Wed Feb 28 19:35:49 GMT 2024","Wed Feb 28 19:35:49 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"failed","Wed Feb 28 19:35:46 GMT 2024","Wed Feb 28 19:35:46 GMT 2024","48","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"passed","Wed Feb 28 19:35:37 GMT 2024","Wed Feb 28 19:35:38 GMT 2024","129","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckProjectWithThisNameAlreadyExists","CheckProjectWithThisNameAlreadyExists",""
"passed","Wed Feb 28 19:33:52 GMT 2024","Wed Feb 28 19:33:56 GMT 2024","3028","Surefire suite","Surefire test","com.example.teamcity.api.AgentsAuthorizedTest","com.example.teamcity.api.AgentsAuthorizedTest","authorizeAgentTest","authorizeAgentTest",""
"passed","Wed Feb 28 19:35:30 GMT 2024","Wed Feb 28 19:35:31 GMT 2024","178","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"failed","Wed Feb 28 19:35:34 GMT 2024","Wed Feb 28 19:35:34 GMT 2024","178","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"passed","Wed Feb 28 19:35:30 GMT 2024","Wed Feb 28 19:35:30 GMT 2024","251","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"passed","Wed Feb 28 19:35:41 GMT 2024","Wed Feb 28 19:35:41 GMT 2024","51","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckValidationProjectName","CheckValidationProjectName",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName",""
"passed","Wed Feb 28 19:35:42 GMT 2024","Wed Feb 28 19:35:42 GMT 2024","54","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkNoProjectFoundByNotExistedLocator","checkNoProjectFoundByNotExistedLocator",""
"passed","Wed Feb 28 19:35:43 GMT 2024","Wed Feb 28 19:35:43 GMT 2024","49","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsCorrectly","checkProjectNameValidationIsCorrectly",""
"passed","Wed Feb 28 19:35:42 GMT 2024","Wed Feb 28 19:35:42 GMT 2024","49","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsCorrectly","checkProjectNameValidationIsCorrectly",""
"failed","Wed Feb 28 19:34:22 GMT 2024","Wed Feb 28 19:34:22 GMT 2024","198","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl",""
"passed","Wed Feb 28 19:35:31 GMT 2024","Wed Feb 28 19:35:31 GMT 2024","225","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"broken","Wed Feb 28 19:35:49 GMT 2024","Wed Feb 28 19:35:49 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","afterTest","afterTest",""
"skipped","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"passed","Wed Feb 28 19:34:18 GMT 2024","Wed Feb 28 19:34:18 GMT 2024","201","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"passed","Wed Feb 28 19:35:25 GMT 2024","Wed Feb 28 19:35:27 GMT 2024","2566","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","CheckNoProjectFoundByEmptyOrNotExistedLocator","CheckNoProjectFoundByEmptyOrNotExistedLocator",""
"passed","Wed Feb 28 19:35:38 GMT 2024","Wed Feb 28 19:35:38 GMT 2024","79","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckThatIdCannotBeDublicate","CheckThatIdCannotBeDublicate",""
"skipped","Wed Feb 28 19:35:16 GMT 2024","Wed Feb 28 19:35:16 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName",""
"passed","Wed Feb 28 19:35:36 GMT 2024","Wed Feb 28 19:35:36 GMT 2024","249","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckNameWithThisNameAlreadyExist","CheckNameWithThisNameAlreadyExist",""
"passed","Wed Feb 28 19:35:32 GMT 2024","Wed Feb 28 19:35:33 GMT 2024","173","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"passed","Wed Feb 28 19:35:35 GMT 2024","Wed Feb 28 19:35:35 GMT 2024","232","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCanBeDoubledInDifferentProject","buildConfigNameTestCanBeDoubledInDifferentProject",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectManually","authorizedUserShouldBeAbleCreateNewProjectManually",""
"skipped","Wed Feb 28 19:36:02 GMT 2024","Wed Feb 28 19:36:02 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectNameManually","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectNameManually",""
"passed","Wed Feb 28 19:35:40 GMT 2024","Wed Feb 28 19:35:41 GMT 2024","57","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckValidationProjectName","CheckValidationProjectName",""
"skipped","Wed Feb 28 19:35:48 GMT 2024","Wed Feb 28 19:35:48 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"skipped","Wed Feb 28 19:35:16 GMT 2024","Wed Feb 28 19:35:16 GMT 2024","1","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName",""
