"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Feb 25 09:57:54 GMT 2024","Sun Feb 25 09:57:54 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"skipped","Sun Feb 25 09:55:45 GMT 2024","Sun Feb 25 09:55:45 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"passed","Sun Feb 25 09:58:55 GMT 2024","Sun Feb 25 09:58:57 GMT 2024","2493","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectNameManually","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectNameManually",""
"passed","Sun Feb 25 09:57:51 GMT 2024","Sun Feb 25 09:57:51 GMT 2024","140","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"broken","Sun Feb 25 09:58:12 GMT 2024","Sun Feb 25 09:58:19 GMT 2024","7068","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectManually","authorizedUserShouldBeAbleCreateNewProjectManually",""
"skipped","Sun Feb 25 09:57:54 GMT 2024","Sun Feb 25 09:57:54 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"passed","Sun Feb 25 09:58:26 GMT 2024","Sun Feb 25 09:58:31 GMT 2024","4894","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewBuildWithIncorrectNameManually","authorizedUserShouldNotBeAbleCreateNewBuildWithIncorrectNameManually",""
"passed","Sun Feb 25 09:55:13 GMT 2024","Sun Feb 25 09:55:16 GMT 2024","3339","Surefire suite","Surefire test","com.example.teamcity.api.AgentsAuthorizedTest","com.example.teamcity.api.AgentsAuthorizedTest","authorizeAgentTest","authorizeAgentTest",""
"passed","Sun Feb 25 09:55:38 GMT 2024","Sun Feb 25 09:55:39 GMT 2024","264","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"passed","Sun Feb 25 09:58:58 GMT 2024","Sun Feb 25 09:59:01 GMT 2024","3041","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectNameManually","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectNameManually",""
