"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 16:59:03 GMT 2024","Fri Mar 01 16:59:03 GMT 2024","151","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"skipped","Fri Mar 01 16:59:06 GMT 2024","Fri Mar 01 16:59:06 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"failed","Fri Mar 01 16:59:16 GMT 2024","Fri Mar 01 16:59:16 GMT 2024","76","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"passed","Fri Mar 01 16:59:12 GMT 2024","Fri Mar 01 16:59:12 GMT 2024","61","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsCorrectly","checkProjectNameValidationIsCorrectly",""
"skipped","Fri Mar 01 16:59:06 GMT 2024","Fri Mar 01 16:59:06 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCannotBeDoubledInSameProject","buildConfigNameTestCannotBeDoubledInSameProject",""
"skipped","Fri Mar 01 16:57:34 GMT 2024","Fri Mar 01 16:57:34 GMT 2024","3","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"passed","Fri Mar 01 16:59:01 GMT 2024","Fri Mar 01 16:59:01 GMT 2024","225","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"skipped","Fri Mar 01 16:58:49 GMT 2024","Fri Mar 01 16:58:49 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl",""
"skipped","Fri Mar 01 16:59:19 GMT 2024","Fri Mar 01 16:59:19 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Fri Mar 01 16:59:12 GMT 2024","Fri Mar 01 16:59:12 GMT 2024","50","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsCorrectly","checkProjectNameValidationIsCorrectly",""
"failed","Fri Mar 01 16:59:16 GMT 2024","Fri Mar 01 16:59:17 GMT 2024","54","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"passed","Fri Mar 01 16:59:08 GMT 2024","Fri Mar 01 16:59:08 GMT 2024","82","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckThatIdCannotBeDublicate","CheckThatIdCannotBeDublicate",""
"skipped","Fri Mar 01 16:57:34 GMT 2024","Fri Mar 01 16:57:34 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
"skipped","Fri Mar 01 16:59:06 GMT 2024","Fri Mar 01 16:59:06 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCorrectSymbols","buildConfigNameTestCorrectSymbols",""
