"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 13:00:23 GMT 2024","Fri Mar 01 13:00:24 GMT 2024","842","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"passed","Fri Mar 01 13:00:39 GMT 2024","Fri Mar 01 13:00:39 GMT 2024","88","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"skipped","Fri Mar 01 13:00:55 GMT 2024","Fri Mar 01 13:00:55 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectNameManually","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectNameManually",""
"skipped","Fri Mar 01 13:00:29 GMT 2024","Fri Mar 01 13:00:29 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"skipped","Fri Mar 01 13:00:29 GMT 2024","Fri Mar 01 13:00:29 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestIncorrectSymbols","buildConfigNameTestIncorrectSymbols",""
"skipped","Fri Mar 01 13:00:43 GMT 2024","Fri Mar 01 13:00:43 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViewerShouldNotHaveRightsToCreateProject","projectViewerShouldNotHaveRightsToCreateProject",""
"skipped","Fri Mar 01 13:00:55 GMT 2024","Fri Mar 01 13:00:55 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName",""
"passed","Fri Mar 01 13:00:29 GMT 2024","Fri Mar 01 13:00:29 GMT 2024","246","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigNameTestCanBeDoubledInDifferentProject","buildConfigNameTestCanBeDoubledInDifferentProject",""
"passed","Fri Mar 01 13:00:29 GMT 2024","Fri Mar 01 13:00:30 GMT 2024","108","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckBeAbleToCreateNewProjectInParentProjectAlreadyExistedProject","CheckBeAbleToCreateNewProjectInParentProjectAlreadyExistedProject",""
"passed","Fri Mar 01 13:00:24 GMT 2024","Fri Mar 01 13:00:25 GMT 2024","113","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestCorrectSymbols","buildConfigIdTestCorrectSymbols",""
"passed","Fri Mar 01 12:56:21 GMT 2024","Fri Mar 01 12:57:18 GMT 2024","56134","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","startUpTest","startUpTest",""
"skipped","Fri Mar 01 13:00:29 GMT 2024","Fri Mar 01 13:00:29 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"failed","Fri Mar 01 13:00:40 GMT 2024","Fri Mar 01 13:00:40 GMT 2024","54","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"passed","Fri Mar 01 13:00:37 GMT 2024","Fri Mar 01 13:00:37 GMT 2024","42","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsNotCorrectly","checkProjectNameValidationIsNotCorrectly",""
"passed","Fri Mar 01 12:58:28 GMT 2024","Fri Mar 01 12:58:31 GMT 2024","3647","Surefire suite","Surefire test","com.example.teamcity.api.AgentsAuthorizedTest","com.example.teamcity.api.AgentsAuthorizedTest","authorizeAgentTest","authorizeAgentTest",""
"failed","Fri Mar 01 13:00:42 GMT 2024","Fri Mar 01 13:00:42 GMT 2024","123","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerShouldNotHaveRightsToCreateProject","agentManagerShouldNotHaveRightsToCreateProject",""
"passed","Fri Mar 01 13:00:32 GMT 2024","Fri Mar 01 13:00:32 GMT 2024","54","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckThatLocatorCannotBeEmpty","CheckThatLocatorCannotBeEmpty",""
"skipped","Fri Mar 01 13:00:42 GMT 2024","Fri Mar 01 13:00:42 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProjectIsNotCorrect","checkValidationIdOfProjectIsNotCorrect",""
"passed","Fri Mar 01 13:00:36 GMT 2024","Fri Mar 01 13:00:36 GMT 2024","47","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkProjectNameValidationIsCorrectly","checkProjectNameValidationIsCorrectly",""
"passed","Fri Mar 01 13:00:31 GMT 2024","Fri Mar 01 13:00:31 GMT 2024","165","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckProjectWithThisNameAlreadyExists","CheckProjectWithThisNameAlreadyExists",""
"skipped","Fri Mar 01 13:00:13 GMT 2024","Fri Mar 01 13:00:13 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectName",""
"passed","Fri Mar 01 13:00:38 GMT 2024","Fri Mar 01 13:00:38 GMT 2024","85","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"passed","Fri Mar 01 13:00:30 GMT 2024","Fri Mar 01 13:00:30 GMT 2024","78","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","CheckNameWithThisNameAlreadyExist","CheckNameWithThisNameAlreadyExist",""
"passed","Fri Mar 01 13:00:26 GMT 2024","Fri Mar 01 13:00:26 GMT 2024","142","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigIdTestIncorrectSymbols","buildConfigIdTestIncorrectSymbols",""
"failed","Fri Mar 01 13:00:39 GMT 2024","Fri Mar 01 13:00:39 GMT 2024","68","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","checkValidationIdOfProject","checkValidationIdOfProject",""
"skipped","Fri Mar 01 13:00:55 GMT 2024","Fri Mar 01 13:00:55 GMT 2024","1","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl","authorizedUserShouldNotBeAbleCreateNewProjectWithIncorrectRepositoryUrl",""
